# from Andrews et al 2015
0.6 1.2558662301227328E+011
1.0 1.2318171923750385E+010
1.2 6.3906041605711164E+009
1.4 3.7897552743635702E+009
1.6 2.4390459522425985E+009
1.8 1.7208135822769668E+009
2.0 1.3539522108140156E+009
2.2 1.1653705013352296E+009
2.4 9.2642730844011772E+008
2.6 7.4158848015600407E+008
2.8 5.9465743759575748E+008
3.0 4.8380346470682693E+008
3.2 3.9858556639228511E+008
3.4 3.3220704911441052E+008
3.6 2.8167901677988899E+008
3.8 2.4046220849243683E+008
4.0 2.0926958734342924E+008
4.2 1.8193768180269152E+008
4.4 1.6021086631462416E+008
4.6 1.4218976648626453E+008
4.8 1.2704167718514176E+008
5.0 1.1449310661116906E+008
5.2 1.0375294126055382E+008
5.4 9.4429761071946383E+007
5.6 8.6334927378015190E+007
5.8 7.9498392125242651E+007
6.0 7.3185917378289387E+007
6.2 6.7957954575540021E+007
6.4 6.2964645427055590E+007
6.6 5.8953055550855912E+007
6.8 5.4777136354784109E+007
7.0 5.1373699368475467E+007
7.2 4.8321620025494888E+007
7.4 4.5629669412460417E+007
7.6 4.3125275445792884E+007
7.8 4.0905878978598081E+007
8.0 3.8875979489168733E+007
